full_name,pha,diameter,rot_per,e [rad],a [au],I [deg],L [deg],long.node.  [deg],long.peri.  [deg],ma,n,per_y
 17511 (1992 QN),N,,5.9902,0.3587,1.19,9.58,569.22,355.89,202.44,10.89,0.7596,1.3
 20236 (1998 BZ7),N,,10.182,0.561,2.034,6.51,258.53,111.23,104.58,42.72,0.3399,2.9
 20425 (1998 VD35),Y,,,0.4764,1.565,6.99,556.27,227.25,296.32,32.7,0.5035,1.96
 20429 (1998 YN1),N,,2.718,0.4642,1.556,6.3,251.82,61.73,147.72,42.37,0.5078,1.94
 20826 (2000 UV13),N,3.687,5.313,0.6362,2.418,31.92,639.34,347.28,198.7,93.36,0.2621,3.76
 22099 (2000 EX106),N,0.524,6.334,0.2762,1.104,9.85,643.16,136.43,186.56,320.17,0.8491,1.16
 22753 (1998 WT),Y,,10.24,0.5699,1.219,3.2,797.49,307.36,324.8,165.33,0.7324,1.35
 22771 (1999 CU3),N,,3.782,0.5243,1.576,11.4,901.67,338.91,305.83,256.93,0.4982,1.98
 23187 (2000 PN9),Y,,2.5325,0.5893,1.847,51.33,625.32,164.29,293.53,167.5,0.3926,2.51
 24443 (2000 OG),N,,4.069,0.8224,2.311,25.74,716.68,178.08,231.22,307.38,0.2806,3.51
 24445 (2000 PM8),N,,6.811,0.5459,2.211,23.78,541.69,203.16,219.08,119.45,0.2998,3.29
 24761 Ahau (1993 BW2),N,,,0.3058,1.335,21.92,654.57,121.04,287.55,245.98,0.6391,1.54
 25143 Itokawa (1998 SF36),Y,0.33,12.132,0.2803,1.324,1.62,374.47,69.08,162.82,142.57,0.6469,1.52
 25330 (1999 KV4),N,3.21,4.919,0.3708,1.541,14.33,265.73,50.52,86.1,129.11,0.5154,1.91
 26379 (1999 HZ1),N,,,0.5763,1.606,8.68,692.56,252.1,200.6,239.86,0.4842,2.04
 26663 (2000 XK47),Y,,2.572,0.4717,1.546,13.53,643.6,303.59,231.23,108.78,0.5127,1.92
 27002 (1998 DV9),Y,,,0.4333,1.744,8.7,334.78,130.34,0.82,203.62,0.428,2.3
 29075 (1950 DA),Y,1.3,2.1216,0.5077,1.699,12.16,804.66,356.59,224.76,223.31,0.4451,2.21
 30825 (1990 TG1),N,,2.62428,0.6812,2.436,8.74,279.15,205.02,33.67,40.46,0.2592,3.8
 30997 (1995 UO5),N,,,0.6432,1.56,36.26,396.06,38.62,151.17,206.27,0.506,1.95
 31662 (1999 HP11),N,,,0.5479,1.597,18.82,484.84,13.94,312.03,158.87,0.4882,2.02
 31669 (1999 JT6),Y,,5.807,0.5776,2.137,9.54,215.26,78.77,39.1,97.39,0.3154,3.12
 35107 (1991 VH),Y,0.929,2.6236,0.1442,1.137,13.91,446.85,139.34,206.96,100.55,0.8126,1.21
 35396 (1997 XF11),Y,0.704,3.259,0.4837,1.442,4.1,588.82,213.65,103.04,272.13,0.5691,1.73
 35670 (1998 SU27),N,,,0.5964,2.122,7.14,571.63,271.33,169.85,130.45,0.3188,3.09
 36236 (1999 VV),N,,2.743,0.4238,1.333,58.04,461.36,241.07,19.79,200.5,0.6408,1.54
 36284 (2000 DM8),N,,3.844,0.5538,1.484,46.76,769.5,323.15,317.96,128.39,0.545,1.81
 37638 (1993 VB),Y,,3.5301,0.5199,1.913,5.08,705.32,145.56,323.2,236.56,0.3725,2.65
 37655 Illapa (1994 PM),Y,,2.6556,0.7525,1.478,18.03,698.41,139.52,303.9,254.99,0.5486,1.8
 38086 Beowulf (1999 JB),N,0.643,2.4104,0.5661,1.42,23.67,661.11,165.32,178.97,316.82,0.5823,1.69
 38239 (1999 OR3),N,,,0.5757,2.036,9.4,497.39,199.79,28.5,269.1,0.3392,2.91
 40267 (1999 GJ4),N,1.641,4.9567,0.8084,1.339,34.48,396.63,148.21,211.96,36.46,0.6363,1.55
 41429 (2000 GE2),Y,0.204,,0.5553,1.593,2.17,692.02,351.91,297.2,42.91,0.4903,2.01
 42286 (2001 TN41),N,,77.9,0.3917,1.419,24.08,315.41,55.82,150.95,108.64,0.5829,1.69
 52340 (1992 SY),N,,,0.5477,2.212,8.08,340.52,5.24,116.34,218.94,0.2997,3.29
 52750 (1998 KK17),N,1.059,26.43,0.5249,1.427,11.17,702.38,141.31,334.15,226.92,0.5783,1.7
 52760 (1998 ML14),Y,1,14.28,0.6233,2.409,2.43,706.14,338.68,20.37,347.09,0.2636,3.74
 52762 (1998 MT24),N,6.742,12.08,0.653,2.416,33.86,592.67,308.94,254.53,29.2,0.2624,3.76
 52768 (1998 OR2),Y,1.75,4.112,0.5755,2.38,5.88,282.74,26.94,174.59,81.21,0.2685,3.67
 53319 (1999 JM8),Y,7,143.7,0.6414,2.724,13.84,529.19,133.62,166.8,228.77,0.2193,4.49
 53409 (1999 LU7),N,,,0.6282,2.101,10.88,439.09,206.68,147.77,84.64,0.3237,3.04
 53426 (1999 SL5),Y,,5.03,0.5391,1.923,22.77,450.32,239.06,43.36,167.9,0.3696,2.67
 53429 (1999 TF5),Y,,,0.641,2.022,26.78,544.82,199.16,64.09,281.57,0.3429,2.87
 53550 (2000 BF19),Y,,,0.4196,1.495,7.17,705.34,313.14,324.95,67.25,0.539,1.83
 53789 (2000 ED104),Y,0.843,43,0.2692,1.371,40.78,645.26,190.02,218.35,236.89,0.6142,1.6
 54509 YORP (2000 PH5),N,,0.2029,0.23,1.006,1.6,656.55,278.19,279,99.36,0.977,1.01
 55408 (2001 TC2),N,0.461,,0.2245,1.1,30.39,753.83,193.83,353.55,206.45,0.8545,1.15
 55532 (2001 WG2),N,1.306,46.08,0.6957,1.794,38.55,348.09,81.4,132.4,134.29,0.4101,2.4
 65690 (1991 DG),Y,,7.1125,0.3632,1.428,11.14,455.77,180.1,63.37,212.3,0.5777,1.71
 65717 (1993 BX3),Y,,20.33,0.281,1.395,2.81,570.32,174.75,290.95,104.62,0.5979,1.65
 65733 (1993 PC),N,,4.185,0.4743,1.154,4.14,741.6,336.9,168.72,235.98,0.7947,1.24
 65803 Didymos (1996 GT),Y,0.78,2.2593,0.3833,1.643,3.41,732.52,72.99,319.6,339.93,0.4682,2.11
 65909 (1998 FH12),Y,,3,0.5397,1.091,3.56,590.03,108.59,284.51,196.93,0.8648,1.14
 66008 (1998 QH2),N,1.484,7.09,0.3627,1.426,61,453.2,168.93,14.01,270.26,0.5787,1.7
 66253 (1999 GT3),N,,,0.8379,1.334,19.5,661.87,157.34,261.13,243.4,0.6396,1.54
 67381 (2000 OL8),Y,,,0.543,1.321,10.67,599.81,294.84,266.96,38.01,0.6495,1.52
 67399 (2000 PJ6),N,,,0.3462,1.301,14.69,764.49,332.86,225.33,206.3,0.664,1.48
 68216 (2001 CV26),Y,0.994,2.429,0.3267,1.32,17.99,368.66,18.13,48.74,301.79,0.65,1.52
 68267 (2001 EA16),N,0.875,3.5,0.4273,1.51,38.83,488.67,8,317.44,163.23,0.5314,1.85
 68346 (2001 KZ66),Y,0.736,4.987,0.4166,1.507,16.7,493.45,219.37,140.29,133.79,0.5326,1.85
 68348 (2001 LO7),N,3.512,3.3313,0.841,2.155,25.37,470.69,236.22,181.66,52.81,0.3116,3.16
 68372 (2001 PM9),Y,,,0.416,1.618,8.11,733.26,252.96,322.33,157.97,0.4789,2.06
 68548 (2001 XR31),Y,1.182,,0.4368,1.707,22.72,513.23,302.02,24.71,186.5,0.4419,2.23
 68950 (2002 QF15),Y,1.65,45.24,0.3443,1.057,25.15,546.35,236.21,255.57,54.57,0.9069,1.09
 69230 Hermes (1937 UB),Y,,13.894,0.6239,1.655,6.07,406.34,34.05,92.9,279.39,0.463,2.13
 85182 (1991 AQ),Y,1.1,,0.7777,2.22,3.12,641.9,339.4,243.23,59.27,0.2979,3.31
 85236 (1993 KH),Y,,5.057,0.311,1.234,12.81,600.8,54.36,293.82,252.62,0.7192,1.37
 85585 Mjolnir (1998 FG2),Y,,11.6,0.3563,1.298,4.08,135.26,2.31,95.42,37.53,0.6669,1.48
 85640 (1998 OX4),Y,,,0.4859,1.58,4.52,432.14,299.57,117.3,15.27,0.4961,1.99
 85713 (1998 SS49),Y,3.484,5.37,0.6388,1.923,10.79,383.65,40.95,103.13,239.57,0.3695,2.67
 85774 (1998 UT18),Y,0.939,55,0.3288,1.403,13.59,293.41,64.62,50.15,178.64,0.5932,1.66
 85818 (1998 XM4),N,2.028,19.451,0.416,1.657,62.72,843.37,235.64,301.22,306.51,0.4622,2.13
 85938 (1999 DJ4),Y,,2.5141,0.4846,1.853,9.14,259.6,19.87,197.79,41.94,0.3909,2.52
 85990 (1999 JV6),Y,0.451,6.538,0.3111,1.008,5.36,672.06,124.3,235.57,312.19,0.9733,1.01
 86039 (1999 NC43),Y,2.22,122.2,0.5789,1.76,7.13,649.78,311.62,120.81,217.35,0.4221,2.33
 86666 (2000 FL10),N,1.165,206,0.4271,1.463,29.01,446.99,186.91,258.87,1.21,0.5569,1.77
 86819 (2000 GK137),Y,0.802,3.0239,0.5059,1.995,10.06,527.66,164.88,150.3,212.48,0.3497,2.82
 86829 (2000 GR146),N,1.823,3.0996,0.575,1.463,14.37,463.27,78.46,31.41,353.4,0.5572,1.77
 86878 (2000 HD24),N,,15.72,0.6186,1.342,9.47,760.1,230.99,214.92,314.19,0.6343,1.55
 87024 (2000 JS66),N,,28.2,0.1898,1.197,14.43,473.03,230.5,84.94,157.59,0.7529,1.31
 87025 (2000 JT66),N,,,0.4835,1.226,25.32,526.4,120.49,359.61,46.3,0.7256,1.36
 87311 (2000 QJ1),N,1.948,,0.5121,1.59,7.7,667.58,191.42,343.53,132.63,0.4915,2.01
 88254 (2001 FM129),Y,0.8,38.56,0.6296,1.182,1.52,578.91,272.11,140.23,166.57,0.7666,1.29
 88710 (2001 SL9),N,0.76,2.4004,0.2701,1.061,21.9,775.49,202.83,329.36,243.3,0.9012,1.09
 88959 (2001 TZ44),Y,,6.73,0.5635,1.724,53.83,171.97,38.96,114.92,18.09,0.4356,2.26
 89136 (2001 US16),Y,,14.39,0.253,1.356,1.91,575.69,175.9,67.2,332.59,0.6243,1.58
 89958 (2002 LY45),Y,,3.265,0.8864,1.642,9.91,597.2,188.16,222.94,186.1,0.4685,2.1
 89959 (2002 NT7),Y,1.407,5.527,0.5284,1.735,42.36,639.32,132,300.71,206.61,0.4311,2.29
 90075 (2002 VU94),Y,2.233,7.879,0.5755,2.136,8.91,385.87,226.73,30.77,128.37,0.3156,3.12
 90147 (2002 YK14),N,,,0.3316,1.474,28,468.43,282.69,105.07,80.67,0.5506,1.79
 90367 (2003 LC5),N,1.748,39,0.4263,1.156,16.88,732.81,86.82,313.86,332.13,0.7934,1.24
 90403 (2003 YE45),Y,0.572,505,0.2802,1.234,19.01,934.16,286.23,306.85,341.08,0.7186,1.37
 90416 (2003 YK118),Y,0.968,43.58,0.4924,1.695,7.83,677.16,326.76,233.29,117.11,0.4467,2.21
 96315 (1997 AP10),N,,5.872,0.6435,1.443,6.65,860.1,293.03,356.29,210.78,0.5688,1.73
 96536 (1998 SO10),N,,,0.7771,2.304,41.12,438.7,199.42,22.67,216.61,0.2818,3.5
 96744 (1999 OW3),N,,,0.7794,2.095,34.79,418.37,196,35.85,186.52,0.3251,3.03
 98943 Torifune (2001 CC21),N,,5.017,0.2192,1.032,4.81,379.61,75.45,179.4,124.76,0.9397,1.05
 99248 (2001 KY66),Y,1.115,19.7,0.5073,1.867,10.61,705.45,284.11,61.58,359.76,0.3864,2.55
 99935 (2002 AV4),N,,5.532,0.6448,1.654,12.77,690.33,16.33,323,351,0.4632,2.13
100004 (1983 VA),N,2.7,3.1643,0.7026,2.591,15.7,343.32,76.3,13.72,253.3,0.2364,4.17
100085 (1992 UY4),Y,,12.906,0.619,2.651,2.64,505.71,305.18,42.24,158.29,0.2284,4.32
100756 (1998 FM5),N,1.809,6.369,0.5546,2.264,11.58,781.78,176.51,312.06,293.21,0.2892,3.41
101869 (1999 MM),Y,,,0.6109,1.624,4.77,432.45,110.92,268.84,52.69,0.4762,2.07
101955 Bennu (1999 RQ36),Y,0.482,4.296061,0.2037,1.126,6.03,169.98,2.06,66.22,101.7,0.8245,1.2
103067 (1999 XA143),Y,1.282,9.849,0.5812,1.844,38.56,509.94,116.52,104.1,289.32,0.3937,2.5
106538 (2000 WK63),N,,51.2,0.7655,2.419,10.33,277.63,163.38,41.76,72.49,0.2619,3.76
106589 (2000 WN107),N,,141.1,0.6176,2.146,14.37,328.35,163.36,11.83,153.16,0.3136,3.14
108906 (2001 PL9),N,,,0.3604,1.235,20.93,619.47,172.05,344.02,103.4,0.7178,1.37
111253 (2001 XU10),Y,3.006,,0.4394,1.754,42.02,379.35,310.15,6.97,62.23,0.4244,2.32
136617 (1994 CC),Y,,2.3886,0.4169,1.638,4.68,397.07,268.51,24.92,103.64,0.4701,2.1
136618 (1994 CN2),Y,,13,0.3948,1.573,1.44,687.73,99.34,248.28,340.11,0.4996,1.97
136770 (1996 PC1),N,,,0.4516,1.838,25.1,459.38,326.21,45.95,87.22,0.3954,2.49
136793 (1997 AQ18),N,,,0.4653,1.147,17.37,645.77,296.24,37.04,312.49,0.8023,1.23
136795 Tatsunokingo (1997 BQ),Y,,17.71,0.478,1.747,10.99,538.43,50.13,147.57,340.73,0.4268,2.31
136849 (1998 CS1),Y,,2.7653,0.5785,1.492,7.79,413.13,110.68,97.8,204.65,0.5411,1.82
136874 (1998 FH74),N,3.398,28.55,0.8842,2.202,21.16,485.64,197.54,193.4,94.7,0.3016,3.27
136900 (1998 HL49),N,,6.439,0.6367,1.748,10.98,693.44,205.95,239.25,248.24,0.4266,2.31
136993 (1998 ST49),N,,2.3017,0.5956,2.309,24.48,207.27,18.21,48.08,140.98,0.2809,3.51
137032 (1998 UO1),N,1.055,2.925,0.7636,1.595,25.49,621.31,358.37,252.54,10.4,0.4891,2.02
137052 Tjelvar (1998 VO33),N,,9.007,0.8097,1.248,14.91,527.41,64.27,209.91,253.23,0.7071,1.39
137062 (1998 WM),N,1.265,2.58,0.3153,1.225,22.52,489.05,45.62,172.59,270.84,0.7273,1.36
137078 (1998 XZ4),N,,,0.638,1.938,23.15,577.3,324.44,9.65,243.21,0.3653,2.7
137084 (1998 XS16),N,1.228,5.419,0.4967,1.212,26.56,949.85,272.98,358.32,318.55,0.7385,1.33
137099 (1998 YW3),N,0.564,,0.4627,1.1,28.79,578.22,94.27,194.84,289.11,0.8542,1.15
137108 (1999 AN10),Y,,5.041,0.5621,1.459,39.93,759.7,314.34,268.33,177.03,0.5595,1.76
137120 (1999 BJ8),Y,,,0.549,1.901,8.97,834.34,339.46,222,272.88,0.3761,2.62
137126 (1999 CF9),Y,,,0.6012,1.772,5.55,528.3,156.87,90.54,280.89,0.4177,2.36
137158 (1999 FB),N,,6.074,0.607,1.18,12.9,93.83,37.09,3.06,53.68,0.769,1.28
137175 (1999 JA11),N,,,0.3412,1.261,16.43,540.19,116.22,328.35,95.62,0.6957,1.42
137427 (1999 TF211),Y,,,0.6116,2.44,39.49,642.85,347.91,162.38,132.56,0.2586,3.81
137925 (2000 BJ19),N,1.372,48,0.7637,1.292,31.11,453.13,131.22,175.52,146.39,0.6713,1.47
138013 (2000 CN101),N,3.518,,0.6348,1.598,15.98,607.88,183.35,118.69,305.84,0.488,2.02
138175 (2000 EE104),Y,,13.324,0.2932,1.004,5.24,359.03,25.5,280.87,52.66,0.9798,1.01
138205 (2000 EZ148),N,,,0.6121,2.584,11.18,602.93,3.83,305.84,293.26,0.2372,4.15
138325 (2000 GO82),N,,6.122,0.8048,2.162,25.73,560.07,173.33,164.45,222.29,0.3101,3.18
138359 (2000 GX127),N,1.085,3.685,0.3613,1.142,20.24,234.28,43.98,4.75,185.55,0.8081,1.22
138404 (2000 HA24),Y,,3.9077,0.3186,1.139,2.16,591.35,309.35,142.2,139.8,0.8111,1.22
138727 (2000 SU180),Y,,,0.6052,2.105,11.92,753.48,327.89,136.32,289.27,0.3228,3.05
138846 (2000 VJ61),N,,2.62,0.5645,2.182,18.69,670.18,270.32,280.73,119.13,0.3057,3.22
138852 (2000 WN10),N,,4.4622,0.2981,1.002,21.52,344.11,60.86,225.37,57.88,0.9832,1
138859 (2000 WN63),N,,,0.5314,1.573,13.16,505.73,55.87,144.43,305.43,0.4994,1.97
138877 (2000 XG47),N,,8.71,0.5429,2.14,25.32,359.91,43.79,127.65,188.47,0.3149,3.13
138883 (2000 YL29),N,1.222,10.592,0.3439,1.536,21.89,303.39,182.75,115.86,4.78,0.5177,1.9
138893 (2000 YH66),N,,5.3,0.7437,1.173,18.36,793.51,265.24,341.39,186.88,0.7758,1.27
138937 (2001 BK16),N,,15.06,0.6778,2.073,31.81,358.3,98.83,252.46,7.01,0.3302,2.98
138947 (2001 BA40),N,0.447,,0.2538,1.119,12.85,528.71,270.86,0.08,257.77,0.8329,1.18
138971 (2001 CB21),Y,,3.303,0.3334,1.034,7.92,741.49,353.67,271.93,115.89,0.9378,1.05
139289 (2001 KR1),N,1.126,11.3,0.8413,1.26,23.26,542.31,102.71,291.49,148.11,0.6972,1.41
139345 (2001 KA67),N,2.586,44.25,0.7018,1.805,22.28,399.52,108.34,38,253.18,0.4065,2.42
139359 (2001 ME1),Y,,,0.87,2.634,5.96,525.79,84.57,302.4,138.82,0.2306,4.27
139622 (2001 QQ142),Y,,,0.3101,1.421,9.34,611.95,83.16,337.95,190.84,0.5821,1.69
140039 (2001 SO73),Y,,,0.5679,1.821,4.85,451.08,197.14,31.03,222.91,0.401,2.46
140158 (2001 SX169),Y,0.566,3.143,0.4608,1.347,2.52,263.9,126.78,42.73,94.39,0.6302,1.56
140288 (2001 SN289),Y,1.263,6.58,0.5082,1.784,53.19,927.12,357.06,225.64,344.42,0.4135,2.38
141052 (2001 XR1),N,,7.658,0.5503,1.245,17.67,658.51,291.47,304.21,62.83,0.7091,1.39
141053 (2001 XT1),Y,,,0.5795,1.528,2.73,415.55,316.21,31.39,67.95,0.5216,1.89
141056 (2001 XV4),N,,2.671,0.4439,1.817,28.89,594.08,259.09,300.68,34.31,0.4024,2.45
141079 (2001 XS30),N,,3.761,0.8283,1.164,28.55,558.12,251.44,0.9,305.78,0.7844,1.26
141495 (2002 EZ11),Y,,2.327,0.8021,1.114,2.35,564.44,51.88,317.78,194.78,0.8382,1.18
141525 (2002 FV5),Y,,14.45,0.7245,1.087,34.04,598.06,38.84,308.11,251.11,0.8697,1.13
141526 (2002 FA6),N,,,0.3223,1.014,30.1,609.07,174.67,173.39,261.01,0.9657,1.02
141527 (2002 FG7),Y,,6.306,0.6268,1.513,9.2,517.74,187.48,247.69,82.57,0.5295,1.86
141593 (2002 HK12),Y,,12.69,0.5287,2.002,2.35,610.46,306.98,2.25,301.23,0.348,2.83
141614 (2002 JV15),Y,,,0.5361,1.624,7.19,597.03,200.62,127.39,269.02,0.4763,2.07
141851 (2002 PM6),Y,,,0.8501,1.198,19.13,539.62,304,224.53,11.09,0.7517,1.31
143404 (2003 BD44),Y,,78.64,0.6075,1.968,2.66,512.8,181.18,89.36,242.26,0.3571,2.76
143487 (2003 CR20),Y,,7.021,0.7301,2.124,4.99,595.84,177.06,88.83,329.95,0.3184,3.1
143624 (2003 HM16),Y,2.137,32.1,0.5773,1.967,35.54,505.57,195.84,47.18,262.55,0.3573,2.76
143637 (2003 LP6),N,,,0.8838,1.746,43.57,472.71,144.48,260.69,67.54,0.4271,2.31
143649 (2003 QQ47),Y,,2.6446,0.187,1.085,62.1,280.05,0.99,104.96,174.1,0.8717,1.13
143651 (2003 QO104),Y,,114.4,0.5262,2.133,11.62,577.27,58.17,183.6,335.5,0.3163,3.12
143947 (2003 YQ117),N,,,0.6545,2.182,21.03,579.07,217.49,135.73,225.85,0.3059,3.22
143992 (2004 AF),Y,,,0.5538,1.971,27.13,578.98,315.62,57.98,205.38,0.3562,2.77
144332 (2004 DV24),Y,,7.985,0.2898,1.423,55.89,563.96,171.13,186.41,206.42,0.5806,1.7
144411 (2004 EW9),N,,49.94,0.5338,1.917,8.79,516.81,288.79,8.19,219.83,0.3713,2.65
144861 (2004 LA12),N,,,0.7491,2.509,39.4,705.58,159.19,199.49,346.9,0.2479,3.98
144898 (2004 VD17),Y,,3.369,0.5886,1.508,4.22,621.2,223.98,90.98,306.24,0.5323,1.85
144901 (2004 WG1),N,2.24,8.06,0.522,1.64,13.04,545.53,41.98,232.48,271.07,0.4693,2.1
152560 (1991 BN),Y,,3.49,0.3979,1.443,3.45,606.29,268.81,80.99,256.49,0.5683,1.73
152561 (1991 RB),Y,,,0.4857,1.454,19.58,708.03,359.29,68.96,279.78,0.5619,1.75
152564 (1992 HF),N,0.282,3.276,0.5617,1.391,13.32,569.88,213.37,128.34,228.17,0.6009,1.64
152664 (1998 FW4),Y,,17.38,0.7143,2.525,3.42,703.07,353.6,85.47,264,0.2456,4.01
152667 (1998 FR11),N,,,0.7067,2.809,6.67,497.19,129.85,158.56,208.78,0.2094,4.71
152671 (1998 HL3),Y,0.298,,0.3659,1.129,2.68,638.07,163.64,188.16,286.27,0.8216,1.2
152679 (1998 KU2),N,4.167,125,0.5524,2.251,4.93,588.36,205.72,120.32,262.32,0.2918,3.38
152680 (1998 KJ9),Y,,,0.6396,1.448,10.93,375.33,98.54,260.12,16.67,0.5658,1.74
152685 (1998 MZ),Y,,,0.5729,1.346,0.15,510.59,122.28,39.24,349.07,0.631,1.56
152754 (1999 GS6),Y,0.414,8.021,0.4974,1.191,2.02,732.79,314.42,134.97,283.4,0.7582,1.3
152756 (1999 JV3),N,,2.845,0.4149,1.451,15.23,479.09,229.02,101.59,148.48,0.5642,1.75
152770 (1999 RR28),Y,,,0.6542,1.879,7.14,694.64,178.16,284.58,231.9,0.3828,2.57
152828 (1999 VT25),Y,,,0.5231,1.162,5.15,794.88,221.94,319.24,253.7,0.7867,1.25
152889 (2000 CF59),N,1.022,,0.6409,1.679,41.55,537.22,141.75,222.47,173,0.4529,2.18
152941 (2000 FM10),N,0.82,,0.6808,1.481,8.73,444.33,18.52,343.99,81.82,0.5467,1.8
152964 (2000 GP82),N,0.788,,0.3934,1.397,13.23,470.25,114.86,333.08,22.31,0.5971,1.65
152978 (2000 GJ147),Y,0.531,10.009,0.2367,1.162,25.01,432.67,57.85,240.8,134.02,0.7866,1.25
153002 (2000 JG5),Y,,6.051,0.7961,1.341,31.43,754,213.04,233.45,307.51,0.635,1.55
153195 (2000 WB1),N,1.327,,0.619,1.301,41.11,383.88,21.38,262.9,99.6,0.6638,1.48
153220 (2000 YN29),Y,,,0.6683,2.542,6.23,495.18,64.22,142.59,288.37,0.2431,4.05
153243 (2001 AU47),N,,,0.5306,1.299,35.97,411.1,311.9,9.39,89.81,0.6658,1.48
153249 (2001 BW15),N,3.16,,0.5905,2.118,41.24,801.72,328.82,298,174.9,0.3198,3.08
153267 (2001 CB32),N,,,0.614,1.781,9.68,413.76,75.53,330.53,7.7,0.4145,2.38
153271 (2001 CL42),N,2.441,,0.4026,1.557,21.65,622.21,12.04,270.82,339.35,0.5073,1.94
153311 (2001 MG1),Y,,,0.6459,2.502,28.4,664.98,142.33,218.52,304.13,0.2491,3.96
153315 (2001 NH6),N,,,0.4496,1.237,34.7,649.52,112.53,288.41,248.58,0.7161,1.38
153349 (2001 PJ9),N,,,0.6382,1.8,10.55,832.61,283.61,291.42,257.58,0.408,2.42
153460 (2001 RN),N,,,0.5814,1.414,10.09,549.21,211.44,30.44,307.33,0.5863,1.68
153792 (2001 VH75),N,,,0.7426,2.099,10.48,673.94,274.54,246.11,153.29,0.3242,3.04
153814 (2001 WN5),Y,0.932,4.253,0.467,1.712,1.92,432.49,277.35,44.67,110.47,0.4401,2.24
153953 (2002 AD9),N,,,0.8089,1.773,31.01,275.01,2.57,9.8,262.64,0.4173,2.36
153957 (2002 AB29),N,,2.415,0.7589,2.532,46.54,383.98,89.72,73.16,221.1,0.2447,4.03
153958 (2002 AM31),Y,,2.8174,0.4515,1.703,4.64,509.22,144.37,197.96,166.89,0.4435,2.22
154019 (2002 CZ9),Y,,,0.3601,1.325,4.97,488.25,142.84,80.88,264.53,0.6459,1.53
154020 (2002 CA10),N,,,0.5897,1.541,12.12,374.54,145.32,222.22,7,0.515,1.91
154029 (2002 CY46),N,1.119,2.554,0.4623,1.89,44.19,836.48,346.14,319.41,170.93,0.3794,2.6
154035 (2002 CV59),N,1.098,,0.532,1.21,49.06,584.62,13.09,347.15,224.38,0.7405,1.33
154229 (2002 JN97),N,,4.48468,0.7187,1.851,10.09,768.76,67.63,341.66,359.47,0.3913,2.52
154268 (2002 RM129),N,,,0.465,1.511,14.57,712,132.65,357.56,221.79,0.5306,1.86
154269 (2002 SM),Y,,,0.4865,1.872,14.4,528.33,10.78,217.51,300.04,0.3849,2.56
154275 (2002 SR41),Y,,2.283,0.4907,1.084,11.58,625.7,247.77,258.2,119.73,0.8737,1.13
154276 (2002 SY50),Y,1.06,4.823,0.6888,1.704,8.75,421.79,34.03,99.68,288.08,0.4429,2.23
154278 (2002 TB9),N,,7.85,0.5916,1.804,29.76,825.41,196.23,322.67,306.51,0.4067,2.42
154300 (2002 UO),N,,,0.4726,1.209,8.29,527.8,90.66,184.24,252.9,0.7412,1.33
154302 (2002 UQ3),Y,,4.329,0.5615,1.72,28.83,734.09,222.7,280.97,230.42,0.4371,2.25
154330 (2002 VX94),Y,,8.932,0.4086,1.477,7.16,888.7,320.06,215.23,353.41,0.5493,1.79
154347 (2002 XK4),N,,3.319,0.6918,1.85,17.74,631.06,331.64,24.99,274.43,0.3916,2.52
154453 (2003 CJ11),N,,5.23,0.8354,2.583,20.83,512.96,61.7,356.41,94.85,0.2375,4.15
154555 (2003 HA),N,,5.183,0.5803,1.184,36.83,479.36,53.48,277.14,148.74,0.7647,1.29
154590 (2003 MA3),Y,0.086,,0.4022,1.105,1.42,438.54,152.67,228.88,56.99,0.8484,1.16
154631 (2003 WO25),N,,,0.4915,1.557,15.9,735.7,357.84,176.09,201.77,0.5072,1.94
154652 (2004 EP20),N,,,0.4505,1.058,16.18,532.29,159.57,191.35,181.37,0.9052,1.09
154656 (2004 FE3),N,,,0.6468,2.31,22.95,936.14,339.11,338.24,258.79,0.2807,3.51
154658 (2004 FA18),N,,,0.4547,1.097,19.29,549.52,29.58,318.65,201.29,0.8583,1.15
154715 (2004 LB6),N,,,0.4906,1.619,4.1,652.1,182.76,190.63,278.71,0.4786,2.06
154807 (2004 PP97),N,0.469,161,0.3166,1.484,15.53,408.06,15.09,68.69,324.28,0.5454,1.81
154988 (2004 XN35),N,,,0.6798,1.506,9.81,620.88,132.97,189.99,297.92,0.5335,1.85
154993 (2005 EA94),N,0.828,13.761,0.6637,1.517,10.32,617.64,104.06,309.03,204.55,0.5277,1.87
155110 (2005 TB),N,0.683,3.479,0.3486,1.261,30.38,471.24,226.17,44.79,200.28,0.6957,1.42
155140 (2005 UD),N,,5.235,0.8726,1.275,28.64,333.74,19.69,207.64,106.41,0.6848,1.44
155336 (2006 GA1),N,,,0.7377,2.12,4.19,465.06,64.34,355.3,45.42,0.3193,3.09
155338 (2006 MZ1),Y,,,0.4826,1.569,2.08,446.42,226.58,138.7,81.14,0.5014,1.97
159459 (2000 KB),N,1.769,,0.7989,2.337,56.17,648.1,185.36,185.38,277.36,0.2759,3.57
159504 (2000 WO67),Y,2.324,7.84,0.6172,2.433,9.69,484.34,107.57,237.82,138.95,0.2597,3.8
159677 (2002 HQ11),N,,,0.5951,1.851,6.06,480.07,153.17,322.39,4.51,0.3914,2.52
159686 (2002 LB6),N,1.845,,0.6882,1.804,24.73,429.78,244.72,141.05,44.01,0.4069,2.42
159699 (2002 PQ142),N,,,0.7159,1.697,16.81,811.92,151.26,332.19,328.47,0.446,2.21
