full_name,pha,diameter,rot_per,e [rad],a [au],I [deg],L [deg],long.node.  [deg],long.peri.  [deg],ma,n,per_y
665151 (2009 AH16),N,,,0.7578,1.969,21.98,658.13,54.46,329.56,274.11,0.3567,2.76
665250 (2009 CA2),N,,,0.4799,1.506,31.73,273.78,42.88,22.73,208.17,0.533,1.85
665326 (2009 EF3),N,,,0.307,1.051,16.53,691.84,177.53,211.03,303.28,0.9151,1.08
665382 (2009 HV44),N,,,0.4231,1.665,37.99,336.52,217.13,76.83,42.56,0.4589,2.15
665390 (2009 HD82),N,,,0.4765,1.254,5.8,646.09,191.2,148,306.89,0.702,1.4
666360 (2010 FC6),N,,,0.4675,1.064,30.43,657.6,181.33,179.3,296.97,0.8982,1.1
666729 (2010 TV149),Y,,,0.5188,1.699,9.79,197.71,78.58,42.9,76.23,0.445,2.21
666966 (2010 XD11),N,,,0.8524,2.212,16.19,429.03,117.74,196.44,114.85,0.2996,3.29
667255 (2011 EG17),Y,,,0.4188,1.38,20.11,622.21,170.1,241.55,210.56,0.6078,1.62
667303 (2011 FR29),N,,,0.3463,1.057,3.62,687.72,214.98,176.17,296.57,0.9065,1.09
668727 (2012 FS62),N,,,0.3959,1.232,13.44,646.75,37.25,314.01,295.49,0.7208,1.37
668949 (2012 PP28),Y,,,0.6067,1.989,5.67,488.05,254.05,133.68,100.32,0.3513,2.81
669051 (2012 SD22),Y,,,0.5727,1.964,7.91,559.53,140.22,313.83,105.48,0.3581,2.75
669555 (2012 YQ1),Y,,,0.5627,1.998,5.15,212.49,120.01,42.26,50.22,0.349,2.82
669608 (2013 AW52),N,,,0.4879,1.114,19,429.9,310.36,36.49,83.05,0.8382,1.18
670011 (2013 EH89),N,,,0.4041,1.35,7.1,618.04,260.41,160.05,197.58,0.6286,1.57
670246 (2013 JE1),N,,,0.4092,1.375,32.68,676.2,185.76,163.1,327.34,0.6111,1.61
670295 (2013 LH16),N,,,0.7947,2.923,7.96,434.79,161.03,205.37,68.39,0.1972,5
670610 (2013 VK5),N,,,0.5843,1.228,19.41,351.26,67.93,215.54,67.79,0.7245,1.36
670931 (2014 DJ112),N,,,0.4536,1.336,26.14,443.47,162.32,208.65,72.5,0.6379,1.54
671076 (2014 FP47),N,,0.44,0.2601,1.168,5.06,354,28.71,271.85,53.44,0.7809,1.26
671243 (2014 HR184),N,,,0.3296,1.296,14.33,609.72,253.41,165.21,191.1,0.6677,1.48
671294 (2014 JO25),Y,,4.5286,0.8867,2.066,25.16,281.74,30.28,49.91,201.55,0.3319,2.97
671970 (2014 QO296),Y,,,0.4701,1.835,10.94,283.35,193.51,30.72,59.12,0.3964,2.49
672457 (2014 UR116),Y,,17.751,0.7278,2.07,6.57,435.47,5.81,286.96,142.7,0.3309,2.98
672745 (2014 WV363),Y,,,0.5158,1.846,5.53,306.11,77.95,210.03,18.13,0.393,2.51
672881 (2014 XG8),N,,,0.5205,2.089,57.13,484.87,258.87,57.12,168.88,0.3264,3.02
