OBJECT_NAME,a [km],e [rad],I [deg],L [deg],long.peri.  [deg],long.node.  [deg],OBJECT_ID,EPOCH,MEAN_MOTION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
SL-3 R/B,6894.901811,0.002936,81.147,446.5177,209.3482,86.1128,1982-079B,2024-10-03T13:07:15.483936,15.16388187,86.1128,123.2354,237.1695,0,U,13403,999,29854,8.06E-04,1.59E-04,0
COSMOS 1408,6666.229068,0.0004616,82.5408,484.1356,392.6816,124.0609,1982-092A,2024-10-05T03:30:35.974080,15.95078906,124.0609,268.6207,91.454,0,U,13552,999,30602,1.02E-03,3.96E-03,6.07E-05
SL-14 R/B,6989.465635,0.0019546,82.5646,695.5,491.9251,268.0876,1982-092B,2024-10-05T02:20:44.920896,14.857186,268.0876,223.8375,203.5749,0,U,13553,999,27268,3.31E-04,2.90E-05,0
SL-3 R/B,6853.8564,0.0023851,81.1061,633.4707,327.3086,273.126,1983-010B,2024-10-04T18:15:43.920000,15.30030259,273.126,54.1826,306.1621,0,U,13819,999,27785,8.65E-04,2.54E-04,0
COSMOS 1455,6810.564489,0.000749,82.5032,674.714,626.0686,314.6536,1983-037A,2024-10-05T03:46:07.475808,15.44642062,314.6536,311.415,48.6454,0,U,14032,999,26692,1.24E-03,5.81E-04,0
SL-3 R/B,6870.810804,0.0026959,97.581,619.1396,534.0024,259.3238,1983-075B,2024-10-05T02:58:12.948672,15.24370503,259.3238,274.6786,85.1372,0,U,14208,999,25075,9.65E-04,2.38E-04,0
COSMOS 1500,6800.829797,0.0012364,82.5066,567.4999,307.3324,207.2354,1983-099A,2024-10-05T12:33:15.264576,15.47959744,207.2354,100.097,260.1675,0,U,14372,999,24360,1.35E-03,7.13E-04,0
COSMOS 1536,6900.448614,0.0015289,82.5455,621.8738,564.4909,261.8983,1984-013A,2024-10-04T23:45:09.111456,15.14560172,261.8983,302.5926,57.3829,0,U,14699,999,21469,9.36E-04,1.73E-04,0
SL-14 R/B,6991.501018,0.0016901,82.5466,372.4775,266.7704,12.5422,1984-027B,2024-10-05T12:24:47.573856,14.85069858,12.5422,254.2282,105.7071,0,U,14820,999,19151,3.37E-04,2.91E-05,0
SL-8 R/B,7145.797799,0.0018884,74.0448,607.9903,324.0161,138.7794,1985-006B,2024-10-05T01:33:35.491104,14.37230539,138.7794,185.2367,283.9742,0,U,15483,999,7948,4.96E-04,1.46E-05,0
COSMOS 1626,6735.823388,0.0002288,82.4581,434.0388,409.3224,73.9236,1985-009A,2024-10-04T21:32:34.937376,15.7042241,73.9236,335.3988,24.7164,0,U,15494,999,17593,1.29E-03,1.60E-03,0
SL-12 R/B(2),7197.698523,0.0036656,71.106,566.9964,326.8753,107.8236,1985-042D,2024-10-04T21:26:45.849408,14.21713355,107.8236,219.0517,240.1211,0,U,15772,999,4036,3.41E-04,7.06E-06,0
SL-14 R/B,6990.133032,0.002058,82.5283,514.4331,267.7532,154.0952,1985-069B,2024-10-05T04:27:57.166848,14.85505827,154.0952,113.658,246.6799,0,U,15945,999,11663,2.73E-04,2.39E-05,0
