OBJECT_NAME,a [km],e [rad],I [deg],L [deg],long.peri.  [deg],long.node.  [deg],OBJECT_ID,EPOCH,MEAN_MOTION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
IDEFIX & ARIANE 42P R/B,7168.671721,0.0010749,98.5335,574.9215,496.8704,214.9238,2002-021B,2024-10-05T09:44:51.803232,14.30357119,214.9238,281.9466,78.0511,0,U,27422,999,16772,9.08E-04,2.32E-05,0
AQUA,7071.228003,0.0002168,98.3417,654.8505,323.7434,229.4167,2002-022A,2024-10-05T12:49:43.182912,14.60024892,229.4167,94.3267,331.1071,0,U,27424,999,19281,1.39E-03,6.65E-05,0
CZ-4B R/B,7222.557694,0.0051058,98.9638,714.0559,382.1988,321.9577,2002-024C,2024-10-05T03:52:26.910048,14.14379626,321.9577,60.2411,331.8571,0,U,27432,999,15573,2.76E-04,4.90E-06,0
MIDORI II (ADEOS-II),7174.585898,0.0002212,98.7023,585.8682,305.8873,225.7251,2002-056A,2024-10-05T10:17:11.049504,14.28588869,225.7251,80.1622,279.9809,0,U,27597,999,13597,8.41E-04,2.07E-05,0
H-2A R/B,7159.623837,0.0069605,98.2443,668.4455,525.0783,250.6332,2002-056E,2024-10-04T22:10:59.606400,14.33069369,250.6332,274.4451,143.3672,0,U,27601,999,13948,8.19E-04,2.27E-05,0
CZ-4B R/B,7090.485984,0.0049483,98.6251,604.776,267.2049,244.4385,2003-049C,2024-10-04T21:14:55.080672,14.54080723,244.4385,22.7664,337.5711,0,U,28059,999,11088,8.13E-04,3.44E-05,0
CZ-2C R/B,6851.910676,0.0032168,97.7997,657.4849,326.3051,297.1824,2004-012C,2024-10-05T00:57:56.973600,15.30682025,297.1824,29.1227,331.1798,0,U,28222,999,12389,1.41E-03,4.26E-04,0
SL-16 R/B,7222.256599,0.0002638,71.0001,604.5089,369.6984,244.3719,2004-021B,2024-10-05T08:18:56.317824,14.14468075,244.3719,125.3265,234.8105,0,U,28353,999,4925,2.03E-04,3.42E-06,0
CZ-4B R/B,6889.412328,0.0040492,97.4137,670.6631,314.1207,310.5113,2004-035C,2024-10-05T04:10:17.711040,15.18200935,310.5113,3.6094,356.5424,0,U,28415,999,10063,1.07E-03,2.23E-04,0
CZ-2C R/B,7181.411573,0.0138989,98.1705,574.895,469.5364,216.3056,2004-046B,2024-10-05T10:13:28.165152,14.26552619,216.3056,253.2308,105.3586,0,U,28480,999,3431,4.78E-04,1.24E-05,0
ARIANE 5 R/B,6997.431052,0.00864,98.2008,419.4181,296.0201,60.1188,2004-049H,2024-10-05T10:55:42.075840,14.83182455,60.1188,235.9013,123.398,0,U,28499,999,6863,6.83E-04,5.89E-05,0
CZ-2D R/B,6852.433811,0.0010795,97.368,636.4377,384.6732,276.1962,2005-024B,2024-10-04T21:18:35.882784,15.30506743,276.1962,108.477,251.7645,0,U,28738,999,5941,1.24E-03,3.67E-04,0
SUZAKU (ASTRO-EII),6764.208904,0.0005332,31.3834,468.125,119.2486,108.0472,2005-025A,2024-10-04T20:29:00.325536,15.60547541,108.0472,11.2014,348.8764,0,U,28773,999,6404,1.74E-03,1.52E-03,0
ALOS (DAICHI),7049.531475,0.0002366,98.0488,590.4119,335.5364,230.2653,2006-002A,2024-10-05T10:30:07.530624,14.66770411,230.2653,105.2711,254.8755,0,U,28931,999,99750,1.57E-03,8.73E-05,0
H-2A R/B,6933.068003,0.0066772,98.2025,376.7472,215.7221,16.8721,2006-002B,2024-10-04T20:51:53.728704,15.03883974,16.8721,198.85,161.0251,0,U,28932,999,1580,2.03E-03,2.94E-04,0
RESURS-DK 1,6919.289036,0.0006657,69.9338,499.9192,366.7923,139.8585,2006-021A,2024-10-05T00:21:40.082400,15.08378427,139.8585,226.9338,133.1269,0,U,29228,999,890,6.07E-04,9.37E-05,0
GENESIS 1,6805.715212,0.0032428,64.5115,513.2111,460.4943,153.3938,2006-029A,2024-10-05T01:09:04.223520,15.46293262,153.3938,307.1005,52.7168,0,U,29252,999,759,1.33E-03,6.76E-04,0
CZ-4B R/B,6915.870459,0.003725,97.6317,674.2494,575.8725,314.5486,2006-046C,2024-10-05T01:42:55.611072,15.09496973,314.5486,261.3239,98.3769,0,U,29507,999,98133,1.00E-03,1.63E-04,0
CZ-2C R/B,7203.788756,0.0059413,98.3492,408.9005,58.818,48.6642,2007-010B,2024-10-04T21:47:43.879200,14.19910817,48.6642,10.1538,350.0825,0,U,31114,999,90580,4.80E-04,9.97E-06,0
COSMO-SKYMED 1,7000.651647,0.0001388,97.889,461.2042,184.261,101.0671,2007-023A,2024-10-05T12:22:30.055296,14.82159083,101.0671,83.1939,276.9432,0,U,31598,999,93754,4.54E-04,3.57E-05,0
GENESIS 2,6812.752531,0.0011796,64.4874,559.3981,443.0289,199.4056,2007-028A,2024-10-05T03:54:35.741952,15.43897986,199.4056,243.6233,116.3692,0,U,31789,999,95441,1.37E-03,6.32E-04,0
COSMOS 2428,7228.132804,0.0010047,70.9353,575.9495,474.8064,215.9504,2007-029A,2024-10-05T03:53:06.313632,14.1274356,215.9504,258.856,101.1431,0,U,31792,999,89065,4.85E-04,8.53E-06,0
SL-16 R/B,7221.537122,0.0002205,70.9759,616.4997,465.1406,187.0102,2007-029B,2024-10-04T21:41:33.460800,14.14679464,187.0102,278.1304,151.3591,0,U,31793,999,89171,9.94E-05,1.43E-06,0
KORONAS-FOTON,6856.859033,0.0013557,82.4325,451.5171,303.009,91.4743,2009-003A,2024-10-04T23:49:03.818784,15.29025364,91.4743,211.5347,148.5081,0,U,33504,999,86591,1.04E-03,2.94E-04,0
CZ-2C R/B,7012.076164,0.0053549,97.7779,711.1807,480.9681,239.4764,2011-030B,2024-10-05T11:26:23.215776,14.78538318,239.4764,241.4917,230.2126,0,U,37731,999,71314,9.38E-04,6.98E-05,0
H-2A R/B,6976.262899,0.0048314,98.4178,557.9359,406.1447,198.0749,2012-025E,2024-10-05T12:54:06.731424,14.89938229,198.0749,208.0698,151.7912,0,U,38341,999,67069,1.12E-03,1.10E-04,0
CUSAT 2 & FALCON 9 R/B,6808.299998,0.0224252,80.92,661.9555,594.0402,304.2364,2013-055G,2024-10-05T13:15:50.352768,15.45412765,304.2364,289.8038,67.9153,0,U,39271,999,58228,1.06E-03,1.38E-03,3.83E-06
SHIJIAN-16 (SJ-16),6977.258704,0.0017667,74.9714,448.1118,379.3382,88.182,2013-057A,2024-10-05T11:47:33.708768,14.89619271,88.182,291.1562,68.7736,0,U,39358,999,59403,5.70E-04,5.44E-05,0
SL-4 R/B,6875.476423,0.0131394,51.6102,687.7764,355.0693,326.9777,2014-021B,2024-10-05T03:20:49.850304,15.22819136,326.9777,28.0916,332.7071,0,U,39679,999,57682,7.78E-04,2.32E-04,0
ALOS-2,7009.13856,0.0001536,97.923,374.7531,116.1286,14.6147,2014-029A,2024-10-05T13:18:40.378464,14.79467922,14.6147,101.5139,258.6245,0,U,39766,999,55999,1.52E-03,1.13E-04,0
SL-27 R/B,6607.574097,0.000519,74.7021,729.4911,654.4024,324.8224,2014-084B,2024-10-05T06:08:08.011392,16.16365076,324.8224,329.58,75.0887,0,U,40354,999,55201,5.83E-04,8.38E-03,4.51E-04
YAOGAN-29,7001.128392,0.0000836,98.0532,654.7004,460.6579,294.5769,2015-069A,2024-10-05T12:18:02.520288,14.82007693,294.5769,166.081,194.0425,0,U,41038,999,47880,3.84E-04,3.00E-05,0
ASTRO-H (HITOMI),6929.315622,0.001023,31.0007,466.6379,254.4986,106.512,2016-012A,2024-10-04T21:00:59.611680,15.0510572,106.512,147.9866,212.1393,0,U,41337,999,47355,7.53E-04,1.11E-04,0
HXMT (HUIYAN),6891.881277,0.0010725,43.0151,383.4995,149.278,23.315,2017-034A,2024-10-05T11:35:57.771456,15.17385187,23.315,125.963,234.2215,0,U,42758,999,40359,1.34E-03,2.71E-04,0
CZ-2C R/B,6843.029007,0.0050701,35.1414,497.4313,185.5156,136.925,2018-054D,2024-10-05T07:32:27.487392,15.33663034,136.925,48.5906,311.9157,0,U,43521,999,34775,1.43E-03,4.99E-04,0
SAOCOM 1A,7000.718907,0.0001497,97.889,464.3067,192.1432,104.1682,2018-076A,2024-10-05T12:34:54.953760,14.82137723,104.1682,87.975,272.1635,0,U,43641,999,32431,1.93E-04,1.48E-05,0
H-2A R/B,6887.407146,0.0040645,98.8535,384.6855,27.7694,24.537,2018-084L,2024-10-04T21:12:17.465472,15.18863991,24.537,3.2324,356.9161,0,U,43682,999,32612,1.64E-03,3.50E-04,0
SAOCOM 1B,7000.702753,0.0001334,97.8885,463.3659,194.776,103.2294,2020-059A,2024-10-05T11:42:38.011680,14.82142853,103.2294,91.5466,268.5899,0,U,46265,999,22170,3.70E-04,2.89E-05,0
CSS (TIANHE),6754.360954,0.0002888,41.4655,490.4453,254.3998,130.3339,2021-035A,2024-10-05T12:08:54.852288,15.63961734,130.3339,124.0659,236.0455,0,U,48274,999,19635,4.84E-04,4.69E-04,0
COSMOS 2550,6842.520727,0.0008404,67.1424,534.663,443.8886,174.6439,2021-056A,2024-10-05T11:41:12.807456,15.33833924,174.6439,269.2447,90.7744,0,U,48865,999,18369,3.04E-04,9.82E-05,0
CZ-2C R/B,6861.637771,0.0074882,50.1972,417.5349,273.2586,57.9363,2022-058K,2024-10-05T11:41:42.230112,15.27428324,57.9363,215.3223,144.2763,0,U,52794,999,12995,1.11E-03,3.26E-04,0
XRISM,6935.009295,0.0008743,31.0043,389.6545,249.4532,29.6549,2023-137A,2024-10-05T11:23:21.637536,15.03252553,29.6549,219.7983,140.2013,0,U,57800,999,5928,1.44E-03,2.01E-04,0
ACS3,7377.802294,0.0050704,97.4383,681.8895,507.3643,321.8297,2024-077B,2024-10-05T02:19:29.508384,13.6997298,321.8297,185.5346,174.5252,0,U,59588,999,2243,8.87E-03,7.83E-05,0
SZ-17 MODULE,6706.806267,0.0013195,41.4714,481.1099,426.8039,121.1482,2023-164C,2024-10-05T11:39:49.463424,15.80625118,121.1482,305.6557,54.306,0,U,59624,999,2489,6.73E-04,1.35E-03,0
